image file name,Powerline
Check   (3311).bmp,NO
Check  (2007).bmp,YES
Check  (118).bmp,YES
Check   (340).bmp,NO
Check  (2374).bmp,YES
Check  (1247).bmp,YES
Check   (2085).bmp,NO
Check   (275).bmp,NO
Check  (2217).bmp,YES
Check  (109).bmp,YES
Check   (1627).bmp,NO
Check  (2627).bmp,YES
Check  (1688).bmp,YES
Check   (1238).bmp,NO
Check  (622).bmp,YES
Check   (413).bmp,NO
Check   (1776).bmp,NO
Check   (1861).bmp,NO
Check  (2044).bmp,YES
Check  (977).bmp,YES
Check   (2807).bmp,NO
Check  (1412).bmp,YES
Check   (1930).bmp,NO
Check  (2208).bmp,YES
Check   (2469).bmp,NO
Check   (725).bmp,NO
Check   (2459).bmp,NO
Check  (2149).bmp,YES
Check   (2917).bmp,NO
Check   (261).bmp,NO
Check  (1331).bmp,YES
Check   (2675).bmp,NO
Check   (1897).bmp,NO
Check  (1917).bmp,YES
Check  (2220).bmp,YES
Check   (788).bmp,NO
Check  (2504).bmp,YES
Check   (2228).bmp,NO
Check  (1574).bmp,YES
Check  (2460).bmp,YES
Check   (1174).bmp,NO
Check   (186).bmp,NO
Check   (2501).bmp,NO
Check  (1609).bmp,YES
Check   (882).bmp,NO
Check   (1310).bmp,NO
Check   (1771).bmp,NO
Check   (2864).bmp,NO
Check   (2555).bmp,NO
Check   (2027).bmp,NO
Check  (1341).bmp,YES
Check  (2097).bmp,YES
Check   (1057).bmp,NO
Check  (1360).bmp,YES
Check  (973).bmp,YES
Check  (2018).bmp,YES
Check   (3324).bmp,YES
Check  (696).bmp,YES
Check  (2350).bmp,YES
Check  (1114).bmp,YES
Check  (1993).bmp,YES
Check   (1992).bmp,NO
Check  (516).bmp,YES
Check   (2539).bmp,NO
Check   (1976).bmp,NO
Check  (814).bmp,YES
Check  (940).bmp,YES
Check   (2265).bmp,NO
Check  (1448).bmp,YES
Check   (935).bmp,NO
Check  (2290).bmp,YES
Check   (1056).bmp,NO
Check   (2145).bmp,NO
Check   (1188).bmp,NO
Check  (194).bmp,YES
Check   (475).bmp,NO
Check   (539).bmp,NO
Check   (2371).bmp,NO
Check   (2177).bmp,NO
Check  (450).bmp,YES
Check   (1398).bmp,NO
Check   (3246).bmp,NO
Check   (2915).bmp,NO
Check   (3176).bmp,NO
Check   (1213).bmp,NO
Check  (1479).bmp,YES
Check   (956).bmp,NO
Check  (221).bmp,YES
Check   (2116).bmp,NO
Check  (844).bmp,YES
Check   (2833).bmp,YES
Check   (88).bmp,YES
Check  (2143).bmp,YES
Check   (172).bmp,NO
Check  (2252).bmp,YES
Check  (2125).bmp,YES
Check   (608).bmp,NO
Check   (1093).bmp,NO
Check   (711).bmp,NO
Check  (2500).bmp,YES
Check  (2188).bmp,YES
Check  (2224).bmp,YES
Check   (1097).bmp,NO
Check   (2261).bmp,NO
Check  (1439).bmp,YES
Check   (50).bmp,NO
Check   (2941).bmp,NO
Check   (1008).bmp,NO
Check   (2452).bmp,NO
Check  (1214).bmp,YES
Check  (1101).bmp,YES
Check   (1959).bmp,NO
Check   (861).bmp,NO
Check   (70).bmp,YES
Check  (776).bmp,YES
Check   (1597).bmp,NO
Check   (1237).bmp,NO
Check  (220).bmp,YES
Check   (2601).bmp,NO
Check   (1446).bmp,NO
Check  (797).bmp,YES
Check  (379).bmp,YES
Check  (181).bmp,YES
Check   (1466).bmp,NO
Check   (3377).bmp,NO
Check  (956).bmp,YES
Check   (280).bmp,NO
Check   (1090).bmp,NO
Check  (2191).bmp,YES
Check  (975).bmp,YES
Check   (1654).bmp,NO
Check   (1909).bmp,NO
Check  (779).bmp,YES
Check  (2237).bmp,YES
Check  (1564).bmp,YES
Check   (285).bmp,NO
Check   (3391).bmp,NO
Check   (1816).bmp,NO
Check   (2312).bmp,NO
Check   (1050).bmp,YES
Check   (2664).bmp,NO
Check   (568).bmp,NO
Check   (2859).bmp,NO
Check   (2627).bmp,YES
Check  (1710).bmp,YES
Check   (2841).bmp,NO
Check   (3273).bmp,NO
Check   (2640).bmp,NO
Check   (112).bmp,NO
Check   (2418).bmp,NO
Check  (2599).bmp,YES
Check   (1086).bmp,NO
Check   (1924).bmp,NO
Check   (1661).bmp,NO
Check  (441).bmp,YES
Check   (1290).bmp,NO
Check   (1139).bmp,NO
Check  (567).bmp,YES
Check   (1616).bmp,NO
Check  (1758).bmp,YES
Check   (2035).bmp,NO
Check   (569).bmp,NO
Check  (1369).bmp,YES
Check  (1627).bmp,YES
Check   (1544).bmp,NO
Check   (1063).bmp,NO
Check  (116).bmp,YES
Check  (2342).bmp,YES
Check  (1703).bmp,YES
Check  (69).bmp,YES
Check   (2158).bmp,NO
Check  (1014).bmp,YES
Check  (1656).bmp,YES
Check  (1810).bmp,NO
Check  (1371).bmp,YES
Check   (1403).bmp,NO
Check   (1601).bmp,NO
Check  (2305).bmp,YES
Check   (1827).bmp,NO
Check   (854).bmp,NO
Check  (1065).bmp,YES
Check  (1486).bmp,YES
Check  (1224).bmp,YES
Check   (2569).bmp,NO
Check  (796).bmp,YES
Check   (2491).bmp,NO
Check  (2549).bmp,YES
Check  (1582).bmp,YES
Check   (2727).bmp,NO
Check  (2617).bmp,YES
Check   (1919).bmp,YES
Check  (1481).bmp,YES
Check   (3348).bmp,NO
Check   (2083).bmp,NO
Check   (902).bmp,NO
Check   (2770).bmp,NO
Check  (1506).bmp,YES
Check  (2568).bmp,YES
Check  (2392).bmp,YES
Check   (373).bmp,YES
Check   (1255).bmp,NO
Check  (2479).bmp,YES
Check   (641).bmp,NO
Check  (2076).bmp,YES
Check  (949).bmp,YES
Check  (2001).bmp,YES
Check   (3230).bmp,NO
Check  (352).bmp,YES
Check  (2041).bmp,YES
Check   (2964).bmp,NO
Check   (1146).bmp,NO
Check  (44).bmp,YES
Check  (1405).bmp,YES
Check  (1036).bmp,YES
Check  (1536).bmp,YES
Check   (906).bmp,NO
Check  (811).bmp,YES
Check   (278).bmp,NO
Check  (998).bmp,YES
Check  (75).bmp,YES
Check   (1283).bmp,NO
Check  (1532).bmp,YES
Check   (2232).bmp,NO
Check  (804).bmp,YES
Check   (1111).bmp,NO
Check   (950).bmp,NO
Check  (435).bmp,YES
Check   (2561).bmp,NO
Check  (1504).bmp,YES
Check   (2414).bmp,YES
Check   (1515).bmp,NO
Check  (1970).bmp,YES
Check  (2210).bmp,YES
Check   (3073).bmp,NO
Check  (49).bmp,YES
Check  (669).bmp,YES
Check   (654).bmp,NO
Check   (2286).bmp,NO
Check  (2565).bmp,YES
Check   (3035).bmp,NO
Check  (1196).bmp,YES
Check  (1868).bmp,YES
Check   (512).bmp,NO
Check  (1459).bmp,YES
Check   (502).bmp,NO
Check   (683).bmp,NO
Check   (1440).bmp,NO
Check  (986).bmp,YES
Check   (3395).bmp,NO
Check   (2576).bmp,NO
Check  (2161).bmp,YES
Check   (2397).bmp,NO
Check  (263).bmp,YES
Check  (254).bmp,YES
Check  (29).bmp,YES
Check  (654).bmp,YES
Check   (1109).bmp,NO
Check   (1628).bmp,NO
Check  (2091).bmp,YES
Check   (2719).bmp,YES
Check   (109).bmp,NO
Check   (2967).bmp,YES
Check  (2566).bmp,YES
Check   (1362).bmp,NO
Check   (2366).bmp,NO
Check   (1915).bmp,NO
Check  (2245).bmp,YES
Check   (2025).bmp,NO
Check  (2481).bmp,YES
Check  (1921).bmp,YES
Check   (3081).bmp,YES
Check   (2614).bmp,NO
Check   (1550).bmp,NO
Check  (2467).bmp,YES
Check  (1549).bmp,YES
Check  (1001).bmp,YES
Check  (271).bmp,YES
Check  (273).bmp,YES
Check  (430).bmp,YES
Check  (589).bmp,YES
Check   (1496).bmp,YES
Check   (820).bmp,NO
Check   (260).bmp,NO
Check  (1676).bmp,YES
Check  (1408).bmp,YES
Check   (491).bmp,NO
Check  (1313).bmp,YES
Check  (288).bmp,YES
Check  (543).bmp,YES
Check   (624).bmp,NO
Check  (723).bmp,YES
Check  (1082).bmp,YES
Check  (1805).bmp,YES
Check  (2386).bmp,YES
Check   (1902).bmp,YES
Check  (2304).bmp,YES
Check  (2450).bmp,YES
Check   (2716).bmp,NO
Check  (2065).bmp,YES
Check   (1815).bmp,NO
Check   (2378).bmp,NO
Check   (3154).bmp,NO
Check   (2734).bmp,NO
Check   (1328).bmp,NO
Check   (1691).bmp,NO
Check   (51).bmp,NO
Check   (139).bmp,NO
Check  (1607).bmp,YES
Check  (1200).bmp,YES
Check   (2328).bmp,NO
Check  (1086).bmp,YES
Check  (82).bmp,YES
Check  (2555).bmp,YES
Check   (406).bmp,NO
Check  (995).bmp,YES
Check   (3166).bmp,NO
Check  (234).bmp,YES
Check   (3357).bmp,NO
Check  (900).bmp,YES
Check   (2839).bmp,NO
Check  (2634).bmp,YES
Check  (2519).bmp,YES
Check   (527).bmp,NO
Check  (2547).bmp,YES
Check  (957).bmp,YES
Check  (1616).bmp,YES
Check  (2027).bmp,YES
Check  (1373).bmp,YES
Check  (2539).bmp,YES
Check   (646).bmp,NO
Check   (1631).bmp,NO
Check   (765).bmp,YES
Check   (2870).bmp,NO
Check  (1070).bmp,YES
Check  (1435).bmp,YES
Check   (2742).bmp,NO
Check  (921).bmp,YES
Check   (797).bmp,NO
Check   (734).bmp,NO
Check   (1543).bmp,NO
Check   (1034).bmp,NO
Check   (1798).bmp,NO
Check  (2356).bmp,YES
Check   (3437).bmp,NO
Check   (3300).bmp,NO
Check   (1502).bmp,NO
Check   (2206).bmp,NO
Check   (1157).bmp,NO
Check  (1490).bmp,YES
Check   (2735).bmp,NO
Check   (466).bmp,NO
Check   (2183).bmp,NO
Check   (307).bmp,NO
Check  (553).bmp,YES
Check   (2953).bmp,NO
Check   (1336).bmp,NO
Check   (2935).bmp,YES
Check  (1567).bmp,YES
Check   (2725).bmp,NO
Check   (2096).bmp,NO
Check   (770).bmp,NO
Check  (848).bmp,YES
Check  (2068).bmp,YES
Check   (2528).bmp,NO
Check  (2317).bmp,YES
Check   (732).bmp,NO
Check   (2984).bmp,NO
Check   (2031).bmp,NO
Check   (474).bmp,NO
Check   (1407).bmp,NO
Check  (1307).bmp,YES
Check  (1222).bmp,YES
Check   (2757).bmp,NO
Check  (2134).bmp,YES
Check   (2749).bmp,NO
Check   (1937).bmp,NO
Check   (254).bmp,NO
Check   (1473).bmp,NO
Check   (2710).bmp,NO
Check   (763).bmp,NO
Check   (184).bmp,NO
Check  (2477).bmp,YES
Check   (2540).bmp,NO
Check  (292).bmp,YES
Check  (1226).bmp,YES
Check   (1338).bmp,NO
Check   (1887).bmp,NO
Check   (517).bmp,NO
Check  (1164).bmp,YES
Check   (343).bmp,NO
Check  (1212).bmp,YES
Check   (2958).bmp,NO
Check  (1571).bmp,YES
Check  (206).bmp,YES
Check  (2173).bmp,YES
Check   (3013).bmp,NO
Check   (3219).bmp,NO
Check  (1184).bmp,YES
Check   (565).bmp,NO
Check   (2929).bmp,NO
Check  (1126).bmp,YES
Check   (2836).bmp,NO
Check  (236).bmp,YES
Check  (2410).bmp,YES
Check   (2499).bmp,NO
Check   (852).bmp,NO
Check  (1999).bmp,YES
Check  (580).bmp,YES
Check   (1250).bmp,NO
Check  (1985).bmp,YES
Check   (1138).bmp,NO
Check   (3164).bmp,NO
Check  (1887).bmp,YES
Check   (3231).bmp,NO
Check   (2113).bmp,NO
Check   (977).bmp,NO
Check   (185).bmp,NO
Check  (2439).bmp,YES
Check  (1034).bmp,YES
Check   (1704).bmp,NO
Check   (414).bmp,NO
Check   (123).bmp,NO
Check  (1619).bmp,YES
Check   (477).bmp,NO
Check  (987).bmp,YES
Check  (391).bmp,YES
Check   (2413).bmp,NO
Check   (1713).bmp,NO
Check  (1618).bmp,YES
Check  (1756).bmp,YES
Check   (1825).bmp,NO
Check  (2633).bmp,YES
Check  (748).bmp,YES
Check   (1855).bmp,NO
Check   (3110).bmp,NO
Check  (856).bmp,YES
Check  (1348).bmp,YES
Check   (2899).bmp,NO
Check  (2274).bmp,YES
Check  (1622).bmp,YES
Check   (1981).bmp,NO
Check  (1147).bmp,YES
Check   (3365).bmp,YES
Check   (2536).bmp,NO
Check  (1896).bmp,YES
Check   (1168).bmp,NO
Check   (833).bmp,NO
Check   (3211).bmp,NO
Check   (1520).bmp,NO
Check   (1837).bmp,NO
Check   (407).bmp,NO
Check   (737).bmp,NO
Check   (2341).bmp,NO
Check  (1425).bmp,NO
Check   (816).bmp,NO
Check   (1779).bmp,NO
Check  (838).bmp,YES
Check   (2707).bmp,NO
Check   (524).bmp,NO
Check   (1565).bmp,NO
Check   (1966).bmp,NO
Check  (1183).bmp,YES
Check   (942).bmp,NO
Check   (556).bmp,NO
Check  (178).bmp,YES
Check   (378).bmp,NO
Check   (3344).bmp,NO
Check   (2556).bmp,NO
Check  (682).bmp,YES
Check  (590).bmp,YES
Check  (979).bmp,YES
Check  (1652).bmp,YES
Check   (715).bmp,NO
Check   (544).bmp,NO
Check   (2290).bmp,NO
Check  (1303).bmp,YES
Check   (268).bmp,NO
Check   (493).bmp,NO
Check  (472).bmp,YES
Check  (542).bmp,YES
Check  (1529).bmp,YES
Check  (35).bmp,YES
Check  (1761).bmp,YES
Check   (3109).bmp,NO
Check   (789).bmp,NO
Check  (1551).bmp,YES
Check  (2172).bmp,YES
Check   (62).bmp,NO
Check   (3353).bmp,NO
Check   (2643).bmp,NO
Check  (657).bmp,YES
Check   (518).bmp,NO
Check   (1049).bmp,NO
Check   (2305).bmp,NO
Check  (2159).bmp,YES
Check  (1243).bmp,YES
Check   (3373).bmp,NO
Check  (15).bmp,YES
Check   (3163).bmp,YES
Check  (1163).bmp,YES
Check   (2117).bmp,YES
Check  (1966).bmp,YES
Check  (970).bmp,YES
Check  (1789).bmp,YES
Check  (2379).bmp,YES
Check   (2332).bmp,NO
Check   (220).bmp,NO
Check   (390).bmp,NO
Check   (52).bmp,NO
Check   (1372).bmp,NO
Check   (2748).bmp,NO
Check   (1695).bmp,NO
Check   (1113).bmp,NO
Check  (1078).bmp,YES
Check   (179).bmp,NO
Check   (1391).bmp,NO
Check  (1361).bmp,YES
Check   (3214).bmp,NO
Check   (1729).bmp,YES
Check   (1813).bmp,NO
Check   (2750).bmp,NO
Check  (1178).bmp,YES
Check  (2476).bmp,YES
Check   (298).bmp,NO
Check   (2910).bmp,NO
Check   (449).bmp,NO
Check  (1495).bmp,YES
Check  (2098).bmp,YES
Check   (1680).bmp,NO
Check   (2078).bmp,NO
Check  (1951).bmp,YES
Check  (927).bmp,YES
Check   (178).bmp,NO
Check   (1584).bmp,NO
Check   (966).bmp,NO
Check  (737).bmp,YES
Check  (744).bmp,YES
Check   (3278).bmp,NO
Check   (2780).bmp,NO
Check  (1100).bmp,YES
Check   (492).bmp,NO
Check   (1108).bmp,NO
Check   (2834).bmp,NO
Check   (1383).bmp,NO
Check  (2328).bmp,YES
Check   (995).bmp,NO
Check   (2419).bmp,NO
Check  (126).bmp,YES
Check   (2246).bmp,NO
Check   (1003).bmp,NO
Check   (730).bmp,NO
Check   (2747).bmp,NO
Check   (1215).bmp,NO
Check   (885).bmp,NO
Check  (591).bmp,YES
Check   (149).bmp,NO
Check   (3283).bmp,NO
Check   (1720).bmp,NO
Check  (300).bmp,YES
Check  (1548).bmp,YES
Check   (2392).bmp,NO
Check   (426).bmp,NO
Check  (265).bmp,YES
Check   (1936).bmp,NO
Check  (2563).bmp,YES
Check   (805).bmp,NO
Check  (327).bmp,YES
Check   (2071).bmp,NO
Check   (1540).bmp,NO
Check  (2409).bmp,YES
Check  (1513).bmp,YES
Check  (476).bmp,YES
Check  (631).bmp,YES
Check  (1624).bmp,YES
Check  (680).bmp,YES
Check  (1343).bmp,YES
Check  (1447).bmp,YES
Check  (1629).bmp,YES
Check   (2646).bmp,NO
Check   (1101).bmp,NO
Check  (1814).bmp,YES
Check  (1467).bmp,YES
Check  (2407).bmp,YES
Check  (1634).bmp,YES
Check   (1836).bmp,NO
Check   (64).bmp,NO
Check  (1701).bmp,YES
Check   (511).bmp,NO
Check  (420).bmp,YES
Check   (321).bmp,NO
Check  (1946).bmp,YES
Check   (908).bmp,NO
Check   (1350).bmp,NO
Check   (1271).bmp,NO
Check   (2678).bmp,NO
Check  (1657).bmp,YES
Check  (1239).bmp,YES
Check  (621).bmp,YES
Check   (2811).bmp,NO
Check  (269).bmp,YES
Check  (12).bmp,YES
Check  (2626).bmp,YES
Check  (325).bmp,YES
Check  (1471).bmp,YES
Check  (165).bmp,YES
Check   (2128).bmp,NO
Check   (3173).bmp,NO
Check  (315).bmp,YES
Check  (896).bmp,YES
Check   (1).bmp,NO
Check   (1471).bmp,YES
Check   (483).bmp,NO
Check   (1282).bmp,NO
Check   (2689).bmp,YES
Check   (1972).bmp,NO
Check   (2508).bmp,NO
Check  (83).bmp,YES
Check  (1125).bmp,YES
Check  (1755).bmp,YES
Check   (1751).bmp,NO
Check   (3111).bmp,NO
Check   (2612).bmp,NO
Check   (1862).bmp,NO
Check   (2510).bmp,NO
Check  (1597).bmp,YES
Check   (2668).bmp,NO
Check   (1624).bmp,NO
Check  (1960).bmp,YES
Check  (2006).bmp,YES
Check   (1126).bmp,NO
Check  (2212).bmp,YES
Check   (620).bmp,NO
Check   (2188).bmp,NO
Check   (2120).bmp,NO
Check  (1725).bmp,YES
Check  (1553).bmp,YES
Check  (1463).bmp,YES
Check  (2110).bmp,YES
Check   (1264).bmp,NO
Check   (2600).bmp,NO
Check   (453).bmp,NO
Check   (3322).bmp,NO
Check   (126).bmp,NO
